#Global results summary (2807 files)
#The most constraining analysis corresponds to the one with largest observed r.
#The most senstive (ATLAS/CMS) analysis corresponds to the one with largest expected r from those analyses for which this information is available.
#filename                                                  MostConstrainingAnalysis  r_max     r_exp     MostSensitive(ATLAS)  r(ATLAS)  r_exp(ATLAS)  MostSensitive(CMS)  r(CMS)    r_exp(CMS)
.DS_Store                                                  N/A                       -1        -1        N/A                   -1        -1            N/A                 -1        -1        
IDM_mhc_1000_mn1_0.00012589_dm_50_la2_0.01_laL_0.01_.slha  ATLAS-SUSY-2016-32        1.8e-08   1.8e-08   ATLAS-SUSY-2016-32    1.8e-08   1.8e-08       N/A                 -1        -1        
IDM_mhc_1000_mn1_0.00015848_dm_50_la2_0.01_laL_0.01_.slha  ATLAS-SUSY-2016-32        1.06e-07  1.06e-07  ATLAS-SUSY-2016-32    1.06e-07  1.06e-07      N/A                 -1        -1        
IDM_mhc_1000_mn1_0.00019952_dm_50_la2_0.01_laL_0.01_.slha  ATLAS-SUSY-2016-32        1.53e-06  1.53e-06  ATLAS-SUSY-2016-32    1.53e-06  1.53e-06      N/A                 -1        -1        
IDM_mhc_1000_mn1_0.0001_dm_50_la2_0.01_laL_0.01_.slha      ATLAS-SUSY-2016-32        1.63e-09  1.63e-09  ATLAS-SUSY-2016-32    1.63e-09  1.63e-09      N/A                 -1        -1        
IDM_mhc_1000_mn1_0.00025118_dm_50_la2_0.01_laL_0.01_.slha  ATLAS-SUSY-2016-32        4e-06     4e-06     ATLAS-SUSY-2016-32    4e-06     4e-06         N/A                 -1        -1        
IDM_mhc_1000_mn1_0.00031622_dm_50_la2_0.01_laL_0.01_.slha  ATLAS-SUSY-2016-32        2.92e-05  2.92e-05  ATLAS-SUSY-2016-32    2.92e-05  2.92e-05      N/A                 -1        -1        
IDM_mhc_1000_mn1_0.0003981_dm_50_la2_0.01_laL_0.01_.slha   ATLAS-SUSY-2016-32        7.17e-05  7.17e-05  ATLAS-SUSY-2016-32    7.17e-05  7.17e-05      N/A                 -1        -1        
IDM_mhc_1000_mn1_0.00050118_dm_50_la2_0.01_laL_0.01_.slha  ATLAS-SUSY-2016-32        0.000209  0.000209  ATLAS-SUSY-2016-32    0.000209  0.000209      N/A                 -1        -1        
IDM_mhc_1000_mn1_0.00063095_dm_50_la2_0.01_laL_0.01_.slha  ATLAS-SUSY-2016-32        0.000453  0.000453  ATLAS-SUSY-2016-32    0.000453  0.000453      N/A                 -1        -1        
IDM_mhc_1000_mn1_0.00079432_dm_50_la2_0.01_laL_0.01_.slha  CMS-PAS-EXO-16-036        0.000829  -1        ATLAS-SUSY-2016-32    0.000824  0.000824      N/A                 -1        -1        
IDM_mhc_1000_mn1_0.0012589_dm_50_la2_0.01_laL_0.01_.slha   CMS-PAS-EXO-16-036        0.00296   -1        ATLAS-SUSY-2016-32    0.00211   0.00211       N/A                 -1        -1        
IDM_mhc_1000_mn1_0.0015848_dm_50_la2_0.01_laL_0.01_.slha   CMS-PAS-EXO-16-036        0.00463   -1        ATLAS-SUSY-2016-32    0.00303   0.00303       N/A                 -1        -1        
IDM_mhc_1000_mn1_0.0019952_dm_50_la2_0.01_laL_0.01_.slha   CMS-PAS-EXO-16-036        0.00661   -1        ATLAS-SUSY-2016-32    0.00395   0.00395       N/A                 -1        -1        
IDM_mhc_1000_mn1_0.001_dm_50_la2_0.01_laL_0.01_.slha       CMS-PAS-EXO-16-036        0.00169   -1        ATLAS-SUSY-2016-32    0.00141   0.00141       N/A                 -1        -1        
