#Global results summary (2806 files)
#The most constraining analysis corresponds to the one with largest observed r.
#The most senstive (ATLAS/CMS) analysis corresponds to the one with largest expected r from those analyses for which this information is available.
#filename                                                 MostConstrainingAnalysis  r_max     r_exp     MostSensitive(ATLAS)  r(ATLAS)  r_exp(ATLAS)  MostSensitive(CMS)  r(CMS)    r_exp(CMS)
IDM_mhc_1000_mn1_0.00012589_dm_5_la2_0.01_laL_0.01_.slha  ATLAS-SUSY-2016-32        1.64e-08  1.64e-08  ATLAS-SUSY-2016-32    1.64e-08  1.64e-08      N/A                 -1        -1        
IDM_mhc_1000_mn1_0.00015848_dm_5_la2_0.01_laL_0.01_.slha  ATLAS-SUSY-2016-32        9.66e-08  9.66e-08  ATLAS-SUSY-2016-32    9.66e-08  9.66e-08      N/A                 -1        -1        
IDM_mhc_1000_mn1_0.00019952_dm_5_la2_0.01_laL_0.01_.slha  ATLAS-SUSY-2016-32        1.39e-06  1.39e-06  ATLAS-SUSY-2016-32    1.39e-06  1.39e-06      N/A                 -1        -1        
IDM_mhc_1000_mn1_0.0001_dm_5_la2_0.01_laL_0.01_.slha      ATLAS-SUSY-2016-32        1.49e-09  1.49e-09  ATLAS-SUSY-2016-32    1.49e-09  1.49e-09      N/A                 -1        -1        
IDM_mhc_1000_mn1_0.00025118_dm_5_la2_0.01_laL_0.01_.slha  ATLAS-SUSY-2016-32        3.64e-06  3.64e-06  ATLAS-SUSY-2016-32    3.64e-06  3.64e-06      N/A                 -1        -1        
IDM_mhc_1000_mn1_0.00031622_dm_5_la2_0.01_laL_0.01_.slha  ATLAS-SUSY-2016-32        2.66e-05  2.66e-05  ATLAS-SUSY-2016-32    2.66e-05  2.66e-05      N/A                 -1        -1        
IDM_mhc_1000_mn1_0.0003981_dm_5_la2_0.01_laL_0.01_.slha   ATLAS-SUSY-2016-32        6.53e-05  6.53e-05  ATLAS-SUSY-2016-32    6.53e-05  6.53e-05      N/A                 -1        -1        
IDM_mhc_1000_mn1_0.00050118_dm_5_la2_0.01_laL_0.01_.slha  ATLAS-SUSY-2016-32        0.00019   0.00019   ATLAS-SUSY-2016-32    0.00019   0.00019       N/A                 -1        -1        
IDM_mhc_1000_mn1_0.00063095_dm_5_la2_0.01_laL_0.01_.slha  ATLAS-SUSY-2016-32        0.000413  0.000413  ATLAS-SUSY-2016-32    0.000413  0.000413      N/A                 -1        -1        
IDM_mhc_1000_mn1_0.00079432_dm_5_la2_0.01_laL_0.01_.slha  CMS-PAS-EXO-16-036        0.000755  -1        ATLAS-SUSY-2016-32    0.00075   0.00075       N/A                 -1        -1        
IDM_mhc_1000_mn1_0.0012589_dm_5_la2_0.01_laL_0.01_.slha   CMS-PAS-EXO-16-036        0.0027    -1        ATLAS-SUSY-2016-32    0.00192   0.00192       N/A                 -1        -1        
IDM_mhc_1000_mn1_0.0015848_dm_5_la2_0.01_laL_0.01_.slha   CMS-PAS-EXO-16-036        0.00422   -1        ATLAS-SUSY-2016-32    0.00276   0.00276       N/A                 -1        -1        
IDM_mhc_1000_mn1_0.0019952_dm_5_la2_0.01_laL_0.01_.slha   CMS-PAS-EXO-16-036        0.00602   -1        ATLAS-SUSY-2016-32    0.00359   0.00359       N/A                 -1        -1        
IDM_mhc_1000_mn1_0.001_dm_5_la2_0.01_laL_0.01_.slha       CMS-PAS-EXO-16-036        0.00153   -1        ATLAS-SUSY-2016-32    0.00128   0.00128       N/A                 -1        -1        
IDM_mhc_1000_mn1_0.0025118_dm_5_la2_0.01_laL_0.01_.slha   CMS-PAS-EXO-16-036        0.00798   -1        ATLAS-SUSY-2016-32    0.00509   0.00509       N/A                 -1        -1        
IDM_mhc_1000_mn1_0.0031622_dm_5_la2_0.01_laL_0.01_.slha   CMS-PAS-EXO-16-036        0.00998   -1        ATLAS-SUSY-2016-32    0.00709   0.00709       N/A                 -1        -1        
IDM_mhc_1000_mn1_0.003981_dm_5_la2_0.01_laL_0.01_.slha    CMS-PAS-EXO-16-036        0.0119    -1        ATLAS-SUSY-2016-32    0.00915   0.00915       N/A                 -1        -1        
IDM_mhc_1000_mn1_0.0050118_dm_5_la2_0.01_laL_0.01_.slha   CMS-PAS-EXO-16-036        0.0137    -1        ATLAS-SUSY-2016-32    0.0112    0.0112        N/A                 -1        -1        
IDM_mhc_1000_mn1_0.0063095_dm_5_la2_0.01_laL_0.01_.slha   CMS-PAS-EXO-16-036        0.0154    -1        ATLAS-SUSY-2016-32    0.0133    0.0133        N/A                 -1        -1        
IDM_mhc_1000_mn1_0.0079432_dm_5_la2_0.01_laL_0.01_.slha   CMS-PAS-EXO-16-036        0.0168    -1        ATLAS-SUSY-2016-32    0.0153    0.0153        N/A                 -1        -1        
IDM_mhc_1000_mn1_0.012589_dm_5_la2_0.01_laL_0.01_.slha    ATLAS-SUSY-2016-32        0.0192    0.0192    ATLAS-SUSY-2016-32    0.0192    0.0192        N/A                 -1        -1        
IDM_mhc_1000_mn1_0.015848_dm_5_la2_0.01_laL_0.01_.slha    ATLAS-SUSY-2016-32        0.0204    0.0204    ATLAS-SUSY-2016-32    0.0204    0.0204        N/A                 -1        -1        
IDM_mhc_1000_mn1_0.019952_dm_5_la2_0.01_laL_0.01_.slha    ATLAS-SUSY-2016-32        0.0215    0.0215    ATLAS-SUSY-2016-32    0.0215    0.0215        N/A                 -1        -1        
IDM_mhc_1000_mn1_0.01_dm_5_la2_0.01_laL_0.01_.slha        CMS-PAS-EXO-16-036        0.018     -1        ATLAS-SUSY-2016-32    0.0174    0.0174        N/A                 -1        -1        
IDM_mhc_1000_mn1_0.025118_dm_5_la2_0.01_laL_0.01_.slha    ATLAS-SUSY-2016-32        0.0226    0.0226    ATLAS-SUSY-2016-32    0.0226    0.0226        N/A                 -1        -1        
IDM_mhc_1000_mn1_0.031622_dm_5_la2_0.01_laL_0.01_.slha    ATLAS-SUSY-2016-32        0.0237    0.0237    ATLAS-SUSY-2016-32    0.0237    0.0237        N/A                 -1        -1        
IDM_mhc_1000_mn1_0.03981_dm_5_la2_0.01_laL_0.01_.slha     ATLAS-SUSY-2016-32        0.0247    0.0247    ATLAS-SUSY-2016-32    0.0247    0.0247        N/A                 -1        -1        
IDM_mhc_1000_mn1_0.050118_dm_5_la2_0.01_laL_0.01_.slha    ATLAS-SUSY-2016-32        0.0248    0.0248    ATLAS-SUSY-2016-32    0.0248    0.0248        N/A                 -1        -1        
IDM_mhc_1000_mn1_0.063095_dm_5_la2_0.01_laL_0.01_.slha    ATLAS-SUSY-2016-32        0.025     0.025     ATLAS-SUSY-2016-32    0.025     0.025         N/A                 -1        -1        
IDM_mhc_1000_mn1_0.079432_dm_5_la2_0.01_laL_0.01_.slha    ATLAS-SUSY-2016-32        0.0251    0.0251    ATLAS-SUSY-2016-32    0.0251    0.0251        N/A                 -1        -1        
