SModelS_status Analysis Disp MT_displaced_xsec Tx Tx_weights file r_max theory_pred MASS9000006 MASS37 ctau(37) BR(37)
Excluded ATLAS-SUSY-2018-14 55.644 22.804 TSelSelDisp "{'TSelSelDisp': 55.644788733433515}" IDM_mhc_240_mn1_6.3095e-06_dm_5_la2_0.01_laL_0.01_.slha.py 55.644 1.235314 6.309e-06 240.0 0.5786 1[9000006,11]
Excluded ATLAS-SUSY-2018-14 1.383 0.2141 TSelSelDisp "{'TSelSelDisp': 1.3838934718940146}" IDM_mhc_700_mn1_3.1622e-05_dm_5_la2_0.01_laL_0.01_.slha.py 1.383 0.03072244 3.162e-05 700.0 0.3305 1[9000006,11]
Excluded ATLAS-SUSY-2016-32 0.0 0.8973 THSCPM1b "{'THSCPM1b': 3.707302808360347}" IDM_mhc_500_mn1_0.0015848_dm_5_la2_0.01_laL_0.01_.slha.py 3.707 2.745166 0.001584 500.0 32.616 1[9000006,11]
Excluded ATLAS-SUSY-2016-32 0.0 0.006602 THSCPM1b "{'THSCPM1b': 1.3110306813602097}" IDM_mhc_760_mn1_0.079432_dm_5_la2_0.01_laL_0.01_.slha.py 1.311 0.3363662 0.07943 760.0 704.739 1[9000006,11]
Non-excluded CMS-PAS-EXO-16-036 0.0 0.03222 THSCPM1b "{'THSCPM1b': 0.03811325818477299}" IDM_mhc_1000_mn1_0.0025118_dm_5_la2_0.01_laL_0.01_.slha.py 0.03811 0.0578507 0.002511 1000.0 12.813 1[9000006,11]
Excluded ATLAS-SUSY-2016-32 0.0 0.007552 THSCPM1b "{'THSCPM1b': 1.2043735336876908}" IDM_mhc_780_mn1_0.063095_dm_5_la2_0.01_laL_0.01_.slha.py 1.204 0.2913212 0.06309 780.0 530.448 1[9000006,11]
Excluded ATLAS-SUSY-2016-32 0.0 0.0306 THSCPM1b "{'THSCPM1b': 1.6178158262732347}" IDM_mhc_720_mn1_0.019952_dm_5_la2_0.01_laL_0.01_.slha.py 1.617 0.4511593 0.01995 720.0 197.326 1[9000006,11]
Non-excluded CMS-PAS-EXO-16-036 0.0 0.04364 THSCPM1b "{'THSCPM1b': 0.005401878714238399}" IDM_mhc_980_mn1_0.00079432_dm_5_la2_0.01_laL_0.01_.slha.py 0.005401 0.07566503 0.0007943 980.0 4.225 1[9000006,11]
Excluded ATLAS-SUSY-2016-32 0.0 0.3692 THSCPM1b "{'THSCPM1b': 1.470684411388935}" IDM_mhc_620_mn1_0.0019952_dm_5_la2_0.01_laL_0.01_.slha.py 1.47 0.9787696 0.001995 620.0 26.629 1[9000006,11]
Excluded ATLAS-SUSY-2018-14 4.629 0.6572 TSelSelDisp "{'TSelSelDisp': 4.629358182263713}" IDM_mhc_560_mn1_1.2589e-05_dm_5_la2_0.01_laL_0.01_.slha.py 4.629 0.1027718 1.258e-05 560.0 0.2061 1[9000006,11]
Excluded ATLAS-SUSY-2016-32 0.0 0.007647 THSCPM1b "{'THSCPM1b': 2.182905689682031}" IDM_mhc_680_mn1_0.1_dm_5_la2_0.01_laL_0.01_.slha.py 2.182 0.6103749 0.1 680.0 1108.578 1[9000006,11]
Excluded CMS-EXO-13-006 0.0 4.725 THSCPM1b,THSCPM2b "{'THSCPM1b': 73.46164613496944, 'THSCPM2b': 4.505510891730316e-05}" IDM_mhc_120_mn1_0.0050118_dm_5_la2_0.01_laL_0.01_.slha.py 73.461 74.93093 0.005011 120.0 1953.732 1[9000006,11]
Excluded ATLAS-SUSY-2018-14 2.316 0.2493 TSelSelDisp "{'TSelSelDisp': 2.3165245176521907}" IDM_mhc_680_mn1_1e-05_dm_5_la2_0.01_laL_0.01_.slha.py 2.316 0.05142684 1e-05 680.0 0.1108 1[9000006,11]
Excluded ATLAS-SUSY-2016-32 0.0 0.002606 THSCPM1b "{'THSCPM1b': 8.967938569206737}" IDM_mhc_480_mn1_0.79432_dm_5_la2_0.01_laL_0.01_.slha.py 8.967 3.306985 0.7943 480.0 17777.203 1[9000006,11]
Excluded ATLAS-SUSY-2018-14 8.597 13.971 TSelSelDisp "{'TSelSelDisp': 8.597233020923408}" IDM_mhc_280_mn1_3.1622e-05_dm_5_la2_0.01_laL_0.01_.slha.py 8.597 0.1908586 3.162e-05 280.0 2.11 1[9000006,11]
Excluded CMS-EXO-12-026 0.0 29.201 THSCPM1b "{'THSCPM1b': 49.174607666117524}" IDM_mhc_140_mn1_0.00063095_dm_5_la2_0.01_laL_0.01_.slha.py 49.174 188.3809 0.0006309 140.0 177.772 1[9000006,11]
Excluded ATLAS-SUSY-2016-32 0.0 0.01449 THSCPM1b "{'THSCPM1b': 10.680495021038793}" IDM_mhc_460_mn1_0.15848_dm_5_la2_0.01_laL_0.01_.slha.py 10.68 4.004173 0.1584 460.0 3861.584 1[9000006,11]
Excluded ATLAS-SUSY-2016-32 0.0 3.059 THSCPM1b "{'THSCPM1b': 22.87893869950141}" IDM_mhc_340_mn1_0.0012589_dm_5_la2_0.01_laL_0.01_.slha.py 22.878 14.4859 0.001258 340.0 56.54 1[9000006,11]
Non-excluded CMS-PAS-EXO-16-036 0.0 0.0532 THSCPM1b "{'THSCPM1b': 0.03420015891840212}" IDM_mhc_960_mn1_0.0015848_dm_5_la2_0.01_laL_0.01_.slha.py 0.0342 0.08603317 0.001584 960.0 8.809 1[9000006,11]
Excluded ATLAS-SUSY-2016-32 0.0 0.003457 THSCPM1b "{'THSCPM1b': 5.636089602979316}" IDM_mhc_560_mn1_0.3981_dm_5_la2_0.01_laL_0.01_.slha.py 5.636 1.61221 0.3981 560.0 6512.441 1[9000006,11]
Excluded ATLAS-SUSY-2018-14 11.268 1.982 TSelSelDisp "{'TSelSelDisp': 11.268184723311975}" IDM_mhc_440_mn1_1e-05_dm_5_la2_0.01_laL_0.01_.slha.py 11.268 0.2501537 1e-05 440.0 0.2662 1[9000006,11]
Non-excluded ATLAS-SUSY-2016-32 0.0 0.0003549 THSCPM1b "{'THSCPM1b': 0.5934422661532783}" IDM_mhc_900_mn1_0.79432_dm_5_la2_0.01_laL_0.01_.slha.py 0.5934 0.1274567 0.7943 900.0 5021.042 1[9000006,11]
Excluded ATLAS-SUSY-2016-32 0.0 0.001247 THSCPM1b "{'THSCPM1b': 4.996816085801843}" IDM_mhc_580_mn1_1.0_dm_5_la2_0.01_laL_0.01_.slha.py 4.996 1.360466 1.0 580.0 15296.663 1[9000006,11]
Non-excluded ATLAS-SUSY-2016-32 0.0 0.005233 THSCPM1b "{'THSCPM1b': 0.17916718351584496}" IDM_mhc_960_mn1_0.03981_dm_5_la2_0.01_laL_0.01_.slha.py 0.1791 0.01433337 0.03981 960.0 220.97 1[9000006,11]
Excluded ATLAS-SUSY-2016-32 0.0 0.00111 THSCPM1b "{'THSCPM1b': 1.9614228386400934}" IDM_mhc_700_mn1_0.63095_dm_5_la2_0.01_laL_0.01_.slha.py 1.961 0.5241483 0.6309 700.0 6599.563 1[9000006,11]
Excluded ATLAS-SUSY-2016-32 0.0 0.02612 THSCPM1b "{'THSCPM1b': 53.46654067847493}" IDM_mhc_280_mn1_0.25118_dm_5_la2_0.01_laL_0.01_.slha.py 53.466 4.811989 0.2511 280.0 16722.624 1[9000006,11]
Non-excluded ATLAS-SUSY-2016-32 0.0 0.03504 THSCPM1b,THSCPM2b "{'THSCPM1b': 1.4201569336748712e-09, 'THSCPM2b': 8.697936619441303e-10}" IDM_mhc_960_mn1_1.9952e-06_dm_5_la2_0.01_laL_0.01_.slha.py 2.289e-09 1.83196e-10 1.995e-06 960.0 0.01108 1[9000006,11]
Non-excluded ATLAS-SUSY-2016-32 0.0 0.02965 THSCPM1b "{'THSCPM1b': 0.5354130712574828}" IDM_mhc_860_mn1_0.01_dm_5_la2_0.01_laL_0.01_.slha.py 0.5354 0.1668211 0.01 860.0 69.237 1[9000006,11]
Excluded ATLAS-SUSY-2018-14 1.68 0.1374 TSelSelDisp "{'TSelSelDisp': 1.6803184777839097}" IDM_mhc_760_mn1_3.981e-06_dm_5_la2_0.01_laL_0.01_.slha.py 1.68 0.03730307 3.981e-06 760.0 0.03529 1[9000006,11]
Non-excluded ATLAS-SUSY-2016-32 0.0 0.04837 THSCPM1b "{'THSCPM1b': 0.7859359811971522}" IDM_mhc_800_mn1_0.0079432_dm_5_la2_0.01_laL_0.01_.slha.py 0.7859 0.2527943 0.007943 800.0 63.449 1[9000006,11]
Excluded ATLAS-SUSY-2016-32 0.0 0.03579 THSCPM1b "{'THSCPM1b': 34.82294554117629}" IDM_mhc_340_mn1_0.12589_dm_5_la2_0.01_laL_0.01_.slha.py 34.822 14.4859 0.1258 340.0 5654.067 1[9000006,11]
Excluded ATLAS-SUSY-2016-32 0.0 29.776 THSCPM1b "{'THSCPM1b': 157.02304245577815}" IDM_mhc_180_mn1_0.0003981_dm_5_la2_0.01_laL_0.01_.slha.py 157.023 14.13207 0.0003981 180.0 66.217 1[9000006,11]
Excluded ATLAS-SUSY-2018-14 61.811 270.465 TSelSelDisp "{'TSelSelDisp': 61.81130675949419}" IDM_mhc_120_mn1_3.1622e-06_dm_5_la2_0.01_laL_0.01_.slha.py 61.811 1.372211 3.162e-06 120.0 1.233 1[9000006,11]
Excluded ATLAS-SUSY-2018-14 1.046 0.1581 TSelSelDisp "{'TSelSelDisp': 1.0464657367127401}" IDM_mhc_740_mn1_1e-06_dm_5_la2_0.01_laL_0.01_.slha.py 1.046 0.02323154 1e-06 740.0 0.009351 1[9000006,11]
Excluded ATLAS-SUSY-2016-32 0.0 0.2213 THSCPM1b "{'THSCPM1b': 14.954506503422342}" IDM_mhc_420_mn1_0.012589_dm_5_la2_0.01_laL_0.01_.slha.py 14.954 5.97153 0.01258 420.0 368.147 1[9000006,11]
Excluded ATLAS-SUSY-2016-32 0.0 24.316 THSCPM1b "{'THSCPM1b': 163.78669203149593}" IDM_mhc_180_mn1_0.00050118_dm_5_la2_0.01_laL_0.01_.slha.py 163.786 14.7408 0.0005011 180.0 83.26 1[9000006,11]
Excluded ATLAS-SUSY-2016-32 0.0 0.2706 THSCPM1b "{'THSCPM1b': 202.93162844261147}" IDM_mhc_180_mn1_0.050118_dm_5_la2_0.01_laL_0.01_.slha.py 202.931 18.26385 0.05011 180.0 8326.032 1[9000006,11]
Non-excluded ATLAS-SUSY-2016-32 0.0 0.0007346 THSCPM1b "{'THSCPM1b': 0.8679511041696117}" IDM_mhc_840_mn1_0.50118_dm_5_la2_0.01_laL_0.01_.slha.py 0.8679 0.1912844 0.5011 840.0 3634.014 1[9000006,11]
Excluded ATLAS-SUSY-2016-32 0.0 5.142 THSCPM1b "{'THSCPM1b': 23.980992354454685}" IDM_mhc_320_mn1_0.00079432_dm_5_la2_0.01_laL_0.01_.slha.py 23.98 18.50356 0.0007943 320.0 40.353 1[9000006,11]
Non-excluded ATLAS-SUSY-2018-14 0.9905 0.1591 TSelSelDisp "{'TSelSelDisp': 0.9905391233842535}" IDM_mhc_740_mn1_3.981e-05_dm_5_la2_0.01_laL_0.01_.slha.py 0.9905 0.02198997 3.981e-05 740.0 0.3723 1[9000006,11]
Excluded ATLAS-SUSY-2018-14 52.826 5.874 TSelSelDisp "{'TSelSelDisp': 52.82675402241276}" IDM_mhc_340_mn1_1.2589e-06_dm_5_la2_0.01_laL_0.01_.slha.py 52.826 1.172754 1.258e-06 340.0 0.05654 1[9000006,11]
Excluded ATLAS-SUSY-2018-14 5.1 0.5535 TSelSelDisp "{'TSelSelDisp': 5.1000632092311085}" IDM_mhc_580_mn1_1e-06_dm_5_la2_0.01_laL_0.01_.slha.py 5.1 0.1132214 1e-06 580.0 0.01529 1[9000006,11]
Excluded ATLAS-SUSY-2016-32 0.0 0.01279 THSCPM1b "{'THSCPM1b': 43.400537217488804}" IDM_mhc_320_mn1_0.3981_dm_5_la2_0.01_laL_0.01_.slha.py 43.4 18.50356 0.3981 320.0 20238.662 1[9000006,11]
Excluded ATLAS-SUSY-2018-14 52.962 16.849 TSelSelDisp "{'TSelSelDisp': 52.96270958754341}" IDM_mhc_260_mn1_5.0118e-06_dm_5_la2_0.01_laL_0.01_.slha.py 52.962 1.175772 5.011e-06 260.0 0.3899 1[9000006,11]
Excluded ATLAS-SUSY-2018-14 111.465 44.615 TSelSelDisp "{'TSelSelDisp': 111.46579718071689}" IDM_mhc_200_mn1_2.5118e-06_dm_5_la2_0.01_laL_0.01_.slha.py 111.465 2.474541 2.511e-06 200.0 0.3355 1[9000006,11]
Excluded ATLAS-SUSY-2018-14 3.992 0.3401 TSelSelDisp "{'TSelSelDisp': 3.9920952711566042}" IDM_mhc_640_mn1_1.9952e-06_dm_5_la2_0.01_laL_0.01_.slha.py 3.992 0.08862452 1.995e-06 640.0 0.02497 1[9000006,11]
Non-excluded ATLAS-SUSY-2016-32 0.0 0.08212 THSCPM1b,THSCPM2b "{'THSCPM1b': 0.002763797124586886, 'THSCPM2b': 1.0147260504656725e-06}" IDM_mhc_860_mn1_0.0003981_dm_5_la2_0.01_laL_0.01_.slha.py 0.002764 0.0002764812 0.0003981 860.0 2.752 1[9000006,11]
Excluded ATLAS-SUSY-2016-32 0.0 2.477 THSCPM1b "{'THSCPM1b': 47.31533735623843}" IDM_mhc_280_mn1_0.0025118_dm_5_la2_0.01_laL_0.01_.slha.py 47.315 4.25838 0.002511 280.0 167.226 1[9000006,11]
Excluded ATLAS-SUSY-2018-14 2.852 1.678 TSelSelDisp "{'TSelSelDisp': 2.8525049433826797}" IDM_mhc_460_mn1_6.3095e-05_dm_5_la2_0.01_laL_0.01_.slha.py 2.852 0.06332561 6.309e-05 460.0 1.541 1[9000006,11]
Excluded ATLAS-SUSY-2016-32 0.0 0.01665 THSCPM1b "{'THSCPM1b': 2.5060734302557903}" IDM_mhc_660_mn1_0.050118_dm_5_la2_0.01_laL_0.01_.slha.py 2.506 0.7125757 0.05011 660.0 589.035 1[9000006,11]
Excluded ATLAS-SUSY-2016-32 0.0 0.02882 THSCPM1b "{'THSCPM1b': 2.902223893106443}" IDM_mhc_640_mn1_0.031622_dm_5_la2_0.01_laL_0.01_.slha.py 2.902 0.8338765 0.03162 640.0 395.444 1[9000006,11]
Non-excluded ATLAS-SUSY-2018-14 0.6998 4.537 TSelSelDisp "{'TSelSelDisp': 0.6998440810591697}" IDM_mhc_380_mn1_7.9432e-05_dm_5_la2_0.01_laL_0.01_.slha.py 0.6998 0.01553654 7.943e-05 380.0 2.847 1[9000006,11]
Excluded ATLAS-SUSY-2016-32 0.0 23.609 THSCPM1b "{'THSCPM1b': 16.763785865198624}" IDM_mhc_260_mn1_0.00015848_dm_5_la2_0.01_laL_0.01_.slha.py 16.763 1.508741 0.0001584 260.0 12.332 1[9000006,11]
Non-excluded CMS-EXO-13-006 0.0 0.5634 THSCPM1b,THSCPM2b "{'THSCPM1b': 0.09788598792597679, 'THSCPM2b': 2.3859055315824942e-05}" IDM_mhc_620_mn1_0.00031622_dm_5_la2_0.01_laL_0.01_.slha.py 0.0979 0.01566558 0.0003162 620.0 4.216 1[9000006,11]
Excluded ATLAS-SUSY-2018-14 1.292 0.1189 TSelSelDisp "{'TSelSelDisp': 1.292776926705417}" IDM_mhc_780_mn1_2.5118e-06_dm_5_la2_0.01_laL_0.01_.slha.py 1.292 0.02869965 2.511e-06 780.0 0.02112 1[9000006,11]
Excluded ATLAS-SUSY-2018-14 1.266 0.4728 TSelSelDisp "{'TSelSelDisp': 1.2661417167824658}" IDM_mhc_600_mn1_7.9432e-05_dm_5_la2_0.01_laL_0.01_.slha.py 1.266 0.02810835 7.943e-05 600.0 1.134 1[9000006,11]
Excluded CMS-EXO-13-006 0.0 4.114 THSCPM1b,THSCPM2b "{'THSCPM1b': 3.7139072219851275, 'THSCPM2b': 0.00031825765540029655}" IDM_mhc_400_mn1_0.0003981_dm_5_la2_0.01_laL_0.01_.slha.py 3.714 0.6314183 0.0003981 400.0 12.897 1[9000006,11]
Excluded ATLAS-SUSY-2016-32 0.0 0.1581 THSCPM1b "{'THSCPM1b': 1.2947219685524756}" IDM_mhc_680_mn1_0.003981_dm_5_la2_0.01_laL_0.01_.slha.py 1.294 0.6103749 0.003981 680.0 44.144 1[9000006,11]
Non-excluded ATLAS-SUSY-2016-32 0.0 0.04007 THSCPM1b,THSCPM2b "{'THSCPM1b': 1.942167525807706e-09, 'THSCPM2b': 1.279057740110593e-10}" IDM_mhc_940_mn1_1.5848e-05_dm_5_la2_0.01_laL_0.01_.slha.py 2.07e-09 1.656059e-10 1.584e-05 940.0 0.09177 1[9000006,11]
Excluded CMS-EXO-12-026 0.0 3.057 THSCPM1b "{'THSCPM1b': 52.78511476883433}" IDM_mhc_140_mn1_0.0063095_dm_5_la2_0.01_laL_0.01_.slha.py 52.785 188.3809 0.006309 140.0 1777.72 1[9000006,11]
Excluded ATLAS-SUSY-2016-32 0.0 91.954 THSCPM1b "{'THSCPM1b': 54.549061253510445}" IDM_mhc_160_mn1_0.00012589_dm_5_la2_0.01_laL_0.01_.slha.py 54.549 4.909416 0.0001258 160.0 26.81 1[9000006,11]
Excluded ATLAS-SUSY-2016-32 0.0 0.0006391 THSCPM1b "{'THSCPM1b': 1.0226055569111403}" IDM_mhc_820_mn1_0.63095_dm_5_la2_0.01_laL_0.01_.slha.py 1.022 0.2197021 0.6309 820.0 4801.142 1[9000006,11]
Excluded ATLAS-SUSY-2016-32 0.0 3.724 THSCPM1b "{'THSCPM1b': 4.554327731142579}" IDM_mhc_400_mn1_0.00050118_dm_5_la2_0.01_laL_0.01_.slha.py 4.554 0.4098895 0.0005011 400.0 16.174 1[9000006,11]
Excluded ATLAS-SUSY-2016-32 0.0 0.023 THSCPM1b "{'THSCPM1b': 2.938645620544915}" IDM_mhc_640_mn1_0.03981_dm_5_la2_0.01_laL_0.01_.slha.py 2.938 0.8338765 0.03981 640.0 498.3 1[9000006,11]
Non-excluded ATLAS-SUSY-2016-32 0.0 0.01825 THSCPM1b "{'THSCPM1b': 0.19370183872075056}" IDM_mhc_920_mn1_0.012589_dm_5_la2_0.01_laL_0.01_.slha.py 0.1937 0.01549615 0.01258 920.0 76.188 1[9000006,11]
Excluded ATLAS-SUSY-2016-32 0.0 4.003 THSCPM1b "{'THSCPM1b': 128.65129993653284}" IDM_mhc_160_mn1_0.003981_dm_5_la2_0.01_laL_0.01_.slha.py 128.651 11.57862 0.003981 160.0 846.896 1[9000006,11]
Excluded ATLAS-SUSY-2016-32 0.0 0.001291 THSCPM1b "{'THSCPM1b': 3.6147130753813026}" IDM_mhc_620_mn1_0.79432_dm_5_la2_0.01_laL_0.01_.slha.py 3.614 0.9787696 0.7943 620.0 10608.976 1[9000006,11]
Excluded ATLAS-SUSY-2016-32 0.0 23.376 THSCPM1b "{'THSCPM1b': 40.544665568906524}" IDM_mhc_240_mn1_0.00025118_dm_5_la2_0.01_laL_0.01_.slha.py 40.544 3.64902 0.0002511 240.0 23.025 1[9000006,11]
Non-excluded ATLAS-SUSY-2018-14 0.6823 0.08988 TSelSelDisp "{'TSelSelDisp': 0.6823406845746366}" IDM_mhc_820_mn1_3.1622e-05_dm_5_la2_0.01_laL_0.01_.slha.py 0.6823 0.01514796 3.162e-05 820.0 0.2406 1[9000006,11]
Excluded ATLAS-SUSY-2016-32 0.0 0.04983 THSCPM1b "{'THSCPM1b': 120.80027683945369}" IDM_mhc_220_mn1_0.19952_dm_5_la2_0.01_laL_0.01_.slha.py 120.8 10.87202 0.1995 220.0 21876.603 1[9000006,11]
Excluded ATLAS-SUSY-2016-32 0.0 0.3279 THSCPM1b "{'THSCPM1b': 3.0433591076585755}" IDM_mhc_580_mn1_0.0031622_dm_5_la2_0.01_laL_0.01_.slha.py 3.043 1.360466 0.003162 580.0 48.246 1[9000006,11]
Non-excluded CMS-PAS-EXO-16-036 0.0 0.2244 THSCPM1b "{'THSCPM1b': 0.22575155828304558}" IDM_mhc_740_mn1_0.0012589_dm_5_la2_0.01_laL_0.01_.slha.py 0.2257 0.3891661 0.001258 740.0 11.745 1[9000006,11]
Excluded CMS-EXO-12-026 0.0 46.557 THSCPM1b "{'THSCPM1b': 112.4585660072952}" IDM_mhc_100_mn1_0.00063095_dm_5_la2_0.01_laL_0.01_.slha.py 112.458 646.5989 0.0006309 100.0 362.733 1[9000006,11]
Excluded ATLAS-SUSY-2016-32 0.0 0.005771 THSCPM1b "{'THSCPM1b': 53.71767864993586}" IDM_mhc_300_mn1_1.0_dm_5_la2_0.01_laL_0.01_.slha.py 53.717 23.91426 1.0 300.0 58037.342 1[9000006,11]
Excluded ATLAS-SUSY-2016-32 0.0 0.3059 THSCPM1b "{'THSCPM1b': 5.195591078990846}" IDM_mhc_520_mn1_0.0050118_dm_5_la2_0.01_laL_0.01_.slha.py 5.195 2.289225 0.005011 520.0 95.327 1[9000006,11]
Excluded ATLAS-SUSY-2016-32 0.0 0.924 THSCPM1b "{'THSCPM1b': 15.113252642732617}" IDM_mhc_400_mn1_0.0031622_dm_5_la2_0.01_laL_0.01_.slha.py 15.113 7.365318 0.003162 400.0 102.241 1[9000006,11]
Excluded ATLAS-SUSY-2016-32 0.0 0.02376 THSCPM1b "{'THSCPM1b': 2.0830380048733383}" IDM_mhc_680_mn1_0.031622_dm_5_la2_0.01_laL_0.01_.slha.py 2.083 0.6103749 0.03162 680.0 350.491 1[9000006,11]
Excluded ATLAS-SUSY-2016-32 0.0 0.4528 THSCPM1b "{'THSCPM1b': 52.00198445530567}" IDM_mhc_300_mn1_0.012589_dm_5_la2_0.01_laL_0.01_.slha.py 52.001 23.91426 0.01258 300.0 730.84 1[9000006,11]
Excluded ATLAS-SUSY-2016-32 0.0 0.005108 THSCPM1b "{'THSCPM1b': 13.075248757386419}" IDM_mhc_440_mn1_0.50118_dm_5_la2_0.01_laL_0.01_.slha.py 13.075 4.87528 0.5011 440.0 13332.902 1[9000006,11]
Excluded ATLAS-SUSY-2016-32 0.0 0.002941 THSCPM1b "{'THSCPM1b': 3.065001419909251}" IDM_mhc_640_mn1_0.31622_dm_5_la2_0.01_laL_0.01_.slha.py 3.065 0.8338765 0.3162 640.0 3954.448 1[9000006,11]
Excluded ATLAS-SUSY-2016-32 0.0 100.222 THSCPM1b "{'THSCPM1b': 26.27973514595215}" IDM_mhc_180_mn1_5.0118e-05_dm_5_la2_0.01_laL_0.01_.slha.py 26.279 2.365176 5.011e-05 180.0 8.326 1[9000006,11]
Excluded ATLAS-SUSY-2016-32 0.0 0.5087 THSCPM1b "{'THSCPM1b': 128.72140807946167}" IDM_mhc_160_mn1_0.031622_dm_5_la2_0.01_laL_0.01_.slha.py 128.721 11.58493 0.03162 160.0 6734.708 1[9000006,11]
Excluded CMS-EXO-12-026 0.0 0.3865 THSCPM1b "{'THSCPM1b': 53.149599701158344}" IDM_mhc_140_mn1_0.050118_dm_5_la2_0.01_laL_0.01_.slha.py 53.149 188.3809 0.05011 140.0 14094.783 1[9000006,11]
Excluded ATLAS-SUSY-2016-32 0.0 7.803 THSCPM1b "{'THSCPM1b': 73.38695874865269}" IDM_mhc_240_mn1_0.001_dm_5_la2_0.01_laL_0.01_.slha.py 73.386 6.604826 0.001 240.0 91.779 1[9000006,11]
Non-excluded CMS-EXO-13-006 0.0 0.8475 THSCPM1b,THSCPM2b "{'THSCPM1b': 0.2900813184175401, 'THSCPM2b': 4.814073915005868e-05}" IDM_mhc_580_mn1_0.0003981_dm_5_la2_0.01_laL_0.01_.slha.py 0.2901 0.04642071 0.0003981 580.0 6.071 1[9000006,11]
Excluded ATLAS-SUSY-2018-14 3.885 0.47 TSelSelDisp "{'TSelSelDisp': 3.8850913617338865}" IDM_mhc_600_mn1_1e-05_dm_5_la2_0.01_laL_0.01_.slha.py 3.885 0.08624903 1e-05 600.0 0.1429 1[9000006,11]
Excluded ATLAS-SUSY-2018-14 30.001 4.65 TSelSelDisp "{'TSelSelDisp': 30.001145963096093}" IDM_mhc_360_mn1_3.981e-06_dm_5_la2_0.01_laL_0.01_.slha.py 30.001 0.6660254 3.981e-06 360.0 0.1591 1[9000006,11]
